manufacturers,year,model,total_range_in_miles,emission_value,min_price,max_price,car_type,electric_consumption,electric_storage,analogue_consumption,analogue_storage,links
Chevrolet,2024,Blazer AWD,247,422,38100.0,45700.0,Regular Gasoline,0,0,21,21.7,Find.do?action=sbs&id=46879
Chevrolet,2024,Traverse Limited FWD,247,433,34520.0,52000.0,Regular Gasoline,0,0,21,19.4,Find.do?action=sbs&id=47670
Chevrolet,2020,Blazer AWD,279,433,34800.0,45600.0,Regular Gasoline,0,0,21,21.7,Find.do?action=sbs&id=41967
Chevrolet,2019,Blazer AWD,393,426,36000.0,45600.0,Regular Gasoline,0,0,21,21.7,Find.do?action=sbs&id=41177
Chevrolet,2022,Colorado 2WD,450,424,25200.0,34800.0,Regular Gasoline,0,0,21,21.0,Find.do?action=sbs&id=44384
Chevrolet,2021,Colorado 2WD,598,424,25200.0,33800.0,Regular Gasoline,0,0,21,21.0,Find.do?action=sbs&id=42546
Chevrolet,2023,Silverado 2WD,500,446,36300.0,62100.0,Regular Gasoline,0,0,20,24.0,Find.do?action=sbs&id=45775
Chevrolet,2022,Silverado 2WD,472,441,34600.0,59800.0,Regular Gasoline,0,0,20,24.0,Find.do?action=sbs&id=44728
Chevrolet,2022,Silverado 2WD,452,441,34600.0,59800.0,Regular Gasoline,0,0,20,24.0,Find.do?action=sbs&id=44729
Chevrolet,2020,Silverado 2WD,297,422,28300.0,53300.0,Regular Gasoline,0,0,20,24.0,Find.do?action=sbs&id=41820
Chevrolet,2021,Silverado 4WD,297,442,33900.0,57700.0,Regular Gasoline,0,0,20,24.0,Find.do?action=sbs&id=43192
